name	item type	source	equipped	quantity	era	armor value	type	subtype	stacks	head	face	torso	arms 	legs	horse	min str	weight	cost	notes	hands	hardness	cover	str	damage die num	damage die	damage mod	ap	parry	range	rof	blast radius	shots	shots (max)
Horse	gear	SWADE	FALSE	1			Animals & Tack										1000	300	weight does not count against encumberance														
War Horse	gear	SWADE	FALSE	1			Animals & Tack										1200	700	weight does not count against encumberance														
Saddle	gear	SWADE	FALSE	1			Animals & Tack										10	10															
Elaborate Saddle	gear	SWADE	FALSE	1			Animals & Tack										10	50															
Backpack	gear	SWADE	FALSE	1			Adventuring Gear										2	50															
Bedroll	gear	SWADE	FALSE	1			Adventuring Gear										4	25															
Blanket	gear	SWADE	FALSE	1			Adventuring Gear										4	10															
Camera (disposable)	gear	SWADE	FALSE	1			Adventuring Gear										1	10															
Camera (regular)	gear	SWADE	FALSE	1			Adventuring Gear										2	75															
Camera (digital)	gear	SWADE	FALSE	1			Adventuring Gear										1	300															
candle	gear	SWADE	FALSE	1			Adventuring Gear										1	1	"one hour, 2"" radius)"														
Canteen/Watersin	gear	SWADE	FALSE	1			Adventuring Gear										1	5															
Crowbar	gear	SWADE	FALSE	1			Adventuring Gear										2	10															
First Aid Kit	gear	SWADE	FALSE	1			Adventuring Gear										1	10	"three uses, see Healing on page 96"														
Flashlight	gear	SWADE	FALSE	1			Adventuring Gear										3	20	"10"" beam"	1													
Flask (ceramic)	gear	SWADE	FALSE	1			Adventuring Gear										1	5															
Flint and Steel	gear	SWADE	FALSE	1			Adventuring Gear										1	3															
Goggles	gear	SWADE	FALSE	1			Adventuring Gear										1	20															
Hammer	gear	SWADE	FALSE	1			Adventuring Gear										1	10															
Handcuffs/manacles	gear	SWADE	FALSE	1			Adventuring Gear										2	15															
Lantern	gear	SWADE	FALSE	1			Adventuring Gear										3	25	"4 hours, 4"" radius"	1													
Lighter	gear	SWADE	FALSE	1			Adventuring Gear										0	2															
Medic Kit	gear	SWADE	FALSE	1			Adventuring Gear										4	100	"Five uses, +1 to Healing skill rolls;$25 refill"														
Oil	gear	SWADE	FALSE	1			Adventuring Gear										1	2	for lantern; one int														
Quiver	gear	SWADE	FALSE	1			Adventuring Gear										2	25	holds 20 arrows/bolts														
"Rope, hemp"	gear	SWADE	FALSE	1			Adventuring Gear										15	10	"10""/20 yards"														
"Rope, nylon"	gear	SWADE	FALSE	1			Adventuring Gear										3	10	"10""/20 yards"														
Shovel	gear	SWADE	FALSE	1			Adventuring Gear										5	5															
Soap	gear	SWADE	FALSE	1			Adventuring Gear										0.2	1															
Tool Kit	gear	SWADE	FALSE	1			Adventuring Gear										5	200															
Torch	gear	SWADE	FALSE	1			Adventuring Gear										1	5	"one hour, 4"" radius"														
Umbrella	gear	SWADE	FALSE	1			Adventuring Gear										2	5															
Whistle	gear	SWADE	FALSE	1			Adventuring Gear										0	2															
Whetstone	gear	SWADE	FALSE	1			Adventuring Gear										1	5															
"Boots, Hiking"	gear	SWADE	FALSE	1			Clothing										2	100															
Camouflage Fatigues	gear	SWADE	FALSE	1			Clothing										3	20															
"Clothing, Casual"	gear	SWADE	FALSE	1			Clothing										2	20															
"Clothing, Formal"	gear	SWADE	FALSE	1			Clothing										3	200															
Winter Gear	gear	SWADE	FALSE	1			Clothing										3	200	cloak/parka														
Winter Boots	gear	SWADE	FALSE	1			Clothing										1	100															
Desktop	gear	SWADE	FALSE	1			Computers & Electronics										20	800															
GPS	gear	SWADE	FALSE	1			Computers & Electronics										1	250															
Hand held computer	gear	SWADE	FALSE	1			Computers & Electronics										1	250															
Laptop	gear	SWADE	FALSE	1			Computers & Electronics										5	1200															
Bipod/Tripod	gear	SWADE	FALSE	1			Firearms Accessories										2	100	Takes an action to deploy. Negates Recoil and Min Str penalties														
Laser/Red Dot Sight	gear	SWADE	FALSE	1			Firearms Accessories										1	150	+1 to Shooting at short and medium range'														
Rifle Scope	gear	SWADE	FALSE	1			Firearms Accessories										2	100	Cancels 2 additional points of penalties when Aiming. See page 97														
Fast Food Meal	gear	SWADE	FALSE	1			Food										1	8															
Good Meal	gear	SWADE	FALSE	1			Food										0	15	adjust depending on restaurant														
MRE	gear	SWADE	FALSE	1			Food										1	10															
Trail Rations	gear	SWADE	FALSE	1			Food										5	10	"5 meals, keeps 1 week"														
Peper Spray	gear	SWADE	FALSE	1			Personal Defense										0.5	15	"Use Shooting (or Fighting if engaged). No Range penalty, but max range is 2"" (about 10 feet), shots 5, victim must make Vigor Roll at -2 or be Stunned (page 106)"	1									10			5	5
Stun Gun	gear	SWADE	FALSE	1			Personal Defense										0.5	15	Uses Shooting. Range 1/2/4. Shots 3 before needing to be recharged for at least 2 hours. Victims must make a Vigor roll at -2 or be Stunned (page 106)	1									1/2/4			3	3
"""Bug"" (Micro Transmitter)"	gear	SWADE	FALSE	1			Surveillance										0	30	12 hours of continuous use														
Button Camera	gear	SWADE	FALSE	1			Surveillance										0	50	12 hours of continuous use														
Cellular Interceptor	gear	SWADE	FALSE	1			Surveillance										5	650															
Lineman's Telephone	gear	SWADE	FALSE	1			Surveillance										2	150	Repair roll to tap into a phone line														
Night Vision Goggles	gear	SWADE	FALSE	1			Surveillance										3	500	"No penalty for dim or dark Illumination (see page 102). For double the price goggles are ""active"" and ignore all Illumination penalties"														
Parabolic Microphone	gear	SWADE	FALSE	1			Surveillance										4	750	Hear whispers upt to 200 yards distance														
Telephone Tap	gear	SWADE	FALSE	1			Surveillance										0	250															
Transmitter Detector	gear	SWADE	FALSE	1			Surveillance										1	525															
Arrows/Bolts	gear	SWADE	FALSE	1			Ammunition										0.2	0.5	"Arrows for bows, bolts for crossbows"														
Bullets (.22 to .32)	gear	SWADE	FALSE	1			Ammunition										0.02	0.2															
Bullets (9mm to .45 caliber)	gear	SWADE	FALSE	1			Ammunition										0.04	0.4															
Bullets (.50 caliber and larger rounds)	gear	SWADE	FALSE	1			Ammunition										0.3	1															
Laser Battery (pistol)	gear	SWADE	FALSE	1			Ammunition										0.25	20	one full magazine for Laser Pistol														
Laser Battery (rifle/smg)	gear	SWADE	FALSE	1			Ammunition										0.5	20	one full magazine for Laser Rifle/SMG														
Laser Battery (gatling)	gear	SWADE	FALSE	1			Ammunition										4	50	one full magazine for Lazer Gatling gun														
Shot (w/powder)	gear	SWADE	FALSE	1			Ammunition										0.05	0.1	For black powder weapons														
Shotgun Shell	gear	SWADE	FALSE	1			Ammunition										0.06	0.6	Standard Buckshot														
Shotgun Slug	gear	SWADE	FALSE	1			Ammunition										0.06	0.8	See page 105														
Sling Stones	gear	SWADE	FALSE	1			Ammunition										0.05	0.1															
Jacket	armor	SWADE	FALSE	1	Medieval	1	Cloth/Light Leather		FALSE	FALSE	FALSE	TRUE	TRUE	FALSE		d4	5	20	"Heavy winter clothing, supple leather armor, soft hides"														
Robes	armor	SWADE	FALSE	1	Medieval	1	Cloth/Light Leather		FALSE	FALSE	FALSE	TRUE	TRUE	TRUE		d4	8	30	"Heavy winter clothing, supple leather armor, soft hides"														
Leggings	armor	SWADE	FALSE	1	Medieval	1	Cloth/Light Leather		FALSE	FALSE	FALSE	FALSE	FALSE	TRUE		d4	5	20	"Heavy winter clothing, supple leather armor, soft hides"														
Cap	armor	SWADE	FALSE	1	Medieval	1	Cloth/Light Leather		FALSE	TRUE	FALSE	FALSE	FALSE	FALSE		d4	1	5	"Heavy winter clothing, supple leather armor, soft hides"														
Jacket	armor	SWADE	FALSE	1	Medieval	2	Thick Leather/Tough Hides		FALSE	FALSE	FALSE	TRUE	TRUE	FALSE		d6	8	80	"Boiled leather, cuir bouilli, alligator hides"														
Leggings	armor	SWADE	FALSE	1	Medieval	2	Thick Leather/Tough Hides		FALSE	FALSE	FALSE	FALSE	FALSE	TRUE		d6	7	40	"Boiled leather, cuir bouilli, alligator hides"														
Cap	armor	SWADE	FALSE	1	Medieval	2	Thick Leather/Tough Hides		FALSE	TRUE	FALSE	FALSE	FALSE	FALSE		d6	1	25	"Boiled leather, cuir bouilli, alligator hides"														
Chain Shirt	armor	SWADE	FALSE	1	Medieval	3	Chain Mail		FALSE	FALSE	FALSE	TRUE	TRUE	FALSE		d8	25	300	"Chain, splint, metal scale, ring mail, samurai armor"														
Chain Leggings	armor	SWADE	FALSE	1	Medieval	3	Chain Mail		FALSE	FALSE	FALSE	FALSE	FALSE	TRUE		d8	10	150	"Chain, splint, metal scale, ring mail, samurai armor"														
Chain Hood or Helm	armor	SWADE	FALSE	1	Medieval	3	Chain Mail		FALSE	TRUE	FALSE	FALSE	FALSE	FALSE		d8	4	25	"Chain, splint, metal scale, ring mail, samurai armor"														
Bronze Barding	armor	SWADE	FALSE	1	Medieval	3	Bronze Armor (Pre-Iron Age Settings)		FALSE						TRUE	d10	50	1500	Typically only found in ancient times or pre-iron civilizations														
Bronze Corsolet	armor	SWADE	FALSE	1	Medieval	3	Bronze Armor (Pre-Iron Age Settings)		FALSE	FALSE	FALSE	TRUE	FALSE	FALSE		d8	13	80	Typically only found in ancient times or pre-iron civilizations														
Bronze Vambraces	armor	SWADE	FALSE	1	Medieval	3	Bronze Armor (Pre-Iron Age Settings)		FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		d8	5	40	Typically only found in ancient times or pre-iron civilizations														
Bronze Greaves	armor	SWADE	FALSE	1	Medieval	3	Bronze Armor (Pre-Iron Age Settings)		FALSE	FALSE	FALSE	FALSE	FALSE	TRUE		d8	6	50	Typically only found in ancient times or pre-iron civilizations														
Bronze Helmet	armor	SWADE	FALSE	1	Medieval	3	Bronze Armor (Pre-Iron Age Settings)		FALSE	TRUE	FALSE	FALSE	FALSE	FALSE		d8	6	25	Typically only found in ancient times or pre-iron civilizations														
Plate Barding	armor	SWADE	FALSE	1	Medieval	4	Plate Mail		FALSE						TRUE	d10	50	1500	Heavy steel armor made with plates of metal														
Corselet	armor	SWADE	FALSE	1	Medieval	4	Plate Mail		FALSE	FALSE	FALSE	TRUE	FALSE	FALSE		d10	30	500	Heavy steel armor made with plates of metal														
Vambraces	armor	SWADE	FALSE	1	Medieval	4	Plate Mail		FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		d10	10	200	Heavy steel armor made with plates of metal														
